project,table,variable
BiB_Proteomics,CM_Project1,BiBPersonID
BiB_Proteomics,CM_Project1,PregnancyID
BiB_Proteomics,CM_Project1,Ethnicity
BiB_Proteomics,CM_Project1,GDM
BiB_Proteomics,CM_Project1,OlinkID
BiB_Proteomics,CM_Project1,UniProt
BiB_Proteomics,CM_Project1,Assay
BiB_Proteomics,CM_Project1,MissingFreq
BiB_Proteomics,CM_Project1,Panel
BiB_Proteomics,CM_Project1,Panel_Lot_Nr
BiB_Proteomics,CM_Project1,PlateID
BiB_Proteomics,CM_Project1,QC_Warning
BiB_Proteomics,CM_Project1,LOD
BiB_Proteomics,CM_Project1,NPX
BiB_Proteomics,CM_Project1,Normalization
BiB_Proteomics,CM_Project1,Assay_Warning
