project,table,variable
BiB_Breathes,BiBBr_Phase1,BiBBrPersonID
BiB_Breathes,BiBBr_Phase1,BiBPersonID
BiB_Breathes,BiBBr_Phase1,sex
BiB_Breathes,BiBBr_Phase1,age
BiB_Breathes,BiBBr_Phase1,ethnicity5
BiB_Breathes,BiBBr_Phase1,ethnicity16
BiB_Breathes,BiBBr_Phase1,GUPersonID
BiB_Breathes,BiBBr_Phase1,version
BiB_Breathes,BiBBr_Phase1,date
BiB_Breathes,BiBBr_Phase1,date_imputed
BiB_Breathes,BiBBr_Phase1,bre1_pcd_1
BiB_Breathes,BiBBr_Phase1,bre1_aq_bfd
BiB_Breathes,BiBBr_Phase1,bre1_aq_uk
BiB_Breathes,BiBBr_Phase1,bre1_aq_bfd_con
BiB_Breathes,BiBBr_Phase1,bre1_aq_oth
BiB_Breathes,BiBBr_Phase1,bre1_aq_imp
BiB_Breathes,BiBBr_Phase1,bre1_aq_res___1
BiB_Breathes,BiBBr_Phase1,bre1_aq_res___2
BiB_Breathes,BiBBr_Phase1,bre1_aq_res___3
BiB_Breathes,BiBBr_Phase1,bre1_aq_res___4
BiB_Breathes,BiBBr_Phase1,bre1_aq_res___5
BiB_Breathes,BiBBr_Phase1,bre1_aq_res___6
BiB_Breathes,BiBBr_Phase1,bre1_aq_res_oth
BiB_Breathes,BiBBr_Phase1,bre1_aq_pan
BiB_Breathes,BiBBr_Phase1,bre1_caz_bfd
BiB_Breathes,BiBBr_Phase1,bre1_caz_gi
BiB_Breathes,BiBBr_Phase1,bre1_caz_pro
BiB_Breathes,BiBBr_Phase1,bre1_caz_area
BiB_Breathes,BiBBr_Phase1,bre1_caz_red
BiB_Breathes,BiBBr_Phase1,bre1_caz_vhch_1
BiB_Breathes,BiBBr_Phase1,bre1_caz_vhch_2
BiB_Breathes,BiBBr_Phase1,bre1_caz_vhch_3
BiB_Breathes,BiBBr_Phase1,bre1_caz_vhch_4
BiB_Breathes,BiBBr_Phase1,bre1_caz_vhch_5
BiB_Breathes,BiBBr_Phase1,bre1_caz_tx
BiB_Breathes,BiBBr_Phase1,bre1_caz_tx_grnt
BiB_Breathes,BiBBr_Phase1,bre1_caz_hlth_1
BiB_Breathes,BiBBr_Phase1,bre1_caz_hlth_2
BiB_Breathes,BiBBr_Phase1,bre1_caz_gen
BiB_Breathes,BiBBr_Phase1,jbsc_main_bre1
BiB_Breathes,BiBBr_Phase1,jbsc_main_crntly_rev1_bre1
BiB_Breathes,BiBBr_Phase1,jbsc_main_crntly_oth
BiB_Breathes,BiBBr_Phase1,jbsc_main_hmwfh_bre1
BiB_Breathes,BiBBr_Phase1,jbsc_covid_bre1___1
BiB_Breathes,BiBBr_Phase1,jbsc_covid_bre1___2
BiB_Breathes,BiBBr_Phase1,jbsc_covid_bre1___3
BiB_Breathes,BiBBr_Phase1,jbsc_covid_bre1___4
BiB_Breathes,BiBBr_Phase1,jbsc_main_wry_1_bre1
BiB_Breathes,BiBBr_Phase1,jbsc_main_wry_2_bre1
BiB_Breathes,BiBBr_Phase1,jbsc_main_wry_3_bre1
BiB_Breathes,BiBBr_Phase1,bre1_main_ear
BiB_Breathes,BiBBr_Phase1,bre1_main_ear_oth
BiB_Breathes,BiBBr_Phase1,bre1_hshd_dr_1
BiB_Breathes,BiBBr_Phase1,bre1_hshd_dr_2
BiB_Breathes,BiBBr_Phase1,bre1_hshd_dr_3
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___1
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___2
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___3
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___4
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___5
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___6
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___7
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___8
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___9
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1___10
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_1_oth
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_2___1
BiB_Breathes,BiBBr_Phase1,bre1_tr_w_2___2
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___2
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___3
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___4
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___5
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___6
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___7
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___8
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___9
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1___10
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_1_oth
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___1
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___2
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___3
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___4
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___5
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___6
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___7
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___8
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___9
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2___10
BiB_Breathes,BiBBr_Phase1,bre1_tr_sch_2_oth
BiB_Breathes,BiBBr_Phase1,bre1_tr_gen_1___1
BiB_Breathes,BiBBr_Phase1,bre1_tr_gen_1___2
BiB_Breathes,BiBBr_Phase2,BiBBrPersonID
BiB_Breathes,BiBBr_Phase2,BiBPersonID
BiB_Breathes,BiBBr_Phase2,sex
BiB_Breathes,BiBBr_Phase2,age
BiB_Breathes,BiBBr_Phase2,ethnicity5
BiB_Breathes,BiBBr_Phase2,ethnicity16
BiB_Breathes,BiBBr_Phase2,Phase1_Completed
BiB_Breathes,BiBBr_Phase2,date
BiB_Breathes,BiBBr_Phase2,date_imputed
BiB_Breathes,BiBBr_Phase2,bre1_pcd_1
BiB_Breathes,BiBBr_Phase2,bre1_aq_bfd
BiB_Breathes,BiBBr_Phase2,bre1_aq_uk
BiB_Breathes,BiBBr_Phase2,bre1_aq_bfd_con
BiB_Breathes,BiBBr_Phase2,bre1_aq_oth
BiB_Breathes,BiBBr_Phase2,bre1_aq_imp
BiB_Breathes,BiBBr_Phase2,bre1_aq_res___1
BiB_Breathes,BiBBr_Phase2,bre1_aq_res___2
BiB_Breathes,BiBBr_Phase2,bre1_aq_res___3
BiB_Breathes,BiBBr_Phase2,bre1_aq_res___4
BiB_Breathes,BiBBr_Phase2,bre1_aq_res___5
BiB_Breathes,BiBBr_Phase2,bre1_aq_res___6
BiB_Breathes,BiBBr_Phase2,bre1_aq_res_oth
BiB_Breathes,BiBBr_Phase2,bre1_caz_bfd
BiB_Breathes,BiBBr_Phase2,bre1_caz_aware
BiB_Breathes,BiBBr_Phase2,bre1_caz_gi
BiB_Breathes,BiBBr_Phase2,bre1_caz_pro
BiB_Breathes,BiBBr_Phase2,bre1_caz_area
BiB_Breathes,BiBBr_Phase2,bre1_caz_chng
BiB_Breathes,BiBBr_Phase2,bre1_caz_vhch_1
BiB_Breathes,BiBBr_Phase2,bre1_caz_vhch_2
BiB_Breathes,BiBBr_Phase2,bre1_caz_vhch_3
BiB_Breathes,BiBBr_Phase2,bre1_caz_vhch_4
BiB_Breathes,BiBBr_Phase2,bre1_caz_vhch_5
BiB_Breathes,BiBBr_Phase2,bre1_caz_hlth_1
BiB_Breathes,BiBBr_Phase2,bre1_caz_finan_impct
BiB_Breathes,BiBBr_Phase2,bre1_caz_finan_furcom
BiB_Breathes,BiBBr_Phase2,hhe_finannow_bre2
BiB_Breathes,BiBBr_Phase2,bre1_caz_gen
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___1
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___2
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___3
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___4
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___5
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___6
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___7
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___8
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___9
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1___10
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_1_oth
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___1
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___2
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___3
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___4
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___5
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___6
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___7
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___8
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___9
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2___10
BiB_Breathes,BiBBr_Phase2,bre1_tr_w_2_oth
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___1
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___2
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___3
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___4
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___5
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___6
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___7
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___8
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___9
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1___10
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_1_oth
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_2___1
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_2___2
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_2___3
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_2___4
BiB_Breathes,BiBBr_Phase2,bre1_tr_sch_2___5
