project,table,variable
BiB_Baseline,base_m_survey,BiBPersonID
BiB_Baseline,base_m_survey,BiBPregNumber
BiB_Baseline,base_m_survey,has_base_m_survey
BiB_Baseline,base_m_survey,agemm_mbqall
BiB_Baseline,base_m_survey,agemy_mbqall
BiB_Baseline,base_m_survey,alc03mb4dr
BiB_Baseline,base_m_survey,alc04thmdr
BiB_Baseline,base_m_survey,alc05u3mb4
BiB_Baseline,base_m_survey,alc05u4thm
BiB_Baseline,base_m_survey,alc05ufr3m
BiB_Baseline,base_m_survey,alc0brav3b
BiB_Baseline,base_m_survey,alc0brav4m
BiB_Baseline,base_m_survey,alc0bravf3
BiB_Baseline,base_m_survey,alc0brmx3b
BiB_Baseline,base_m_survey,alc0brmx4m
BiB_Baseline,base_m_survey,alc0brmxf3
BiB_Baseline,base_m_survey,alc0dr3mb4
BiB_Baseline,base_m_survey,alc0dr4thm
BiB_Baseline,base_m_survey,alc0drfr3m
BiB_Baseline,base_m_survey,alc0drpreg
BiB_Baseline,base_m_survey,alc0fr3mdr
BiB_Baseline,base_m_survey,alc0oaav3b
BiB_Baseline,base_m_survey,alc0oaav4m
BiB_Baseline,base_m_survey,alc0oaavf3
BiB_Baseline,base_m_survey,alc0oamx3b
BiB_Baseline,base_m_survey,alc0oamx4m
BiB_Baseline,base_m_survey,alc0oamxf3
BiB_Baseline,base_m_survey,alc0spav3b
BiB_Baseline,base_m_survey,alc0spav4m
BiB_Baseline,base_m_survey,alc0spavf3
BiB_Baseline,base_m_survey,alc0spmx3b
BiB_Baseline,base_m_survey,alc0spmx4m
BiB_Baseline,base_m_survey,alc0spmxf3
BiB_Baseline,base_m_survey,alc0wnav3b
BiB_Baseline,base_m_survey,alc0wnav4m
BiB_Baseline,base_m_survey,alc0wnavf3
BiB_Baseline,base_m_survey,alc0wnmx3b
BiB_Baseline,base_m_survey,alc0wnmx4m
BiB_Baseline,base_m_survey,alc0wnmxf3
BiB_Baseline,base_m_survey,ben0carall
BiB_Baseline,base_m_survey,ben0chdben
BiB_Baseline,base_m_survey,ben0chdtxc
BiB_Baseline,base_m_survey,ben0disbla
BiB_Baseline,base_m_survey,ben0dnwtoa
BiB_Baseline,base_m_survey,ben0dontkw
BiB_Baseline,base_m_survey,ben0houseb
BiB_Baseline,base_m_survey,ben0incapb
BiB_Baseline,base_m_survey,ben0incsup
BiB_Baseline,base_m_survey,ben0intjsa
BiB_Baseline,base_m_survey,ben0mentst
BiB_Baseline,base_m_survey,ben0nobenf
BiB_Baseline,base_m_survey,ben0othbnm
BiB_Baseline,base_m_survey,ben0otherb
BiB_Baseline,base_m_survey,ben0pencrd
BiB_Baseline,base_m_survey,ben0wrktxc
BiB_Baseline,base_m_survey,brd0brolls
BiB_Baseline,base_m_survey,brd0brwbrd
BiB_Baseline,base_m_survey,brd0nnptbg
